time,open,high,low,close,volume
1606867200,18767.65,19333.08,18332.44,19211.07,3739626774.22
1606953600,19211.07,19597.77,18879.69,19424.19,2842034799.92
1607040000,19424.19,19520.63,18591.9,18651.71,3265130873.36
1607126400,18651.71,19172.08,18506.88,19149.35,2072521041.55
1607212800,19149.35,19413.02,18864.96,19360.25,2004688829.89
1607299200,19360.25,19417.75,18907,19169.52,2560349227.29
1607385600,19169.52,19291.88,18231.07,18325.18,3796320276.89
1607472000,18325.18,18633.94,17656.78,18540.99,4284353352.01
1607558400,18540.99,18550.86,17919.12,18248.44,2968986488.14
1607644800,18248.44,18288.28,17597.95,18032.08,3605777150.01
1607731200,18032.08,18936.77,18026.15,18803.88,2589527637.12
1607817600,18803.88,19411.56,18714.61,19176.12,3065383364.52
1607904000,19176.12,19348.07,19006.7,19272.45,2563165382.55
1607990400,19272.45,19566.47,19057.52,19425.57,3195648257.6
1608076800,19425.57,21541.99,19282.34,21341.25,6051731954.56
1608163200,21341.25,23779.44,21236.05,22802.17,10346150603.33
1608249600,22802.17,23276.2,22361.14,23111.05,5339658384.69
1608336000,23111.05,24141.37,22764.03,23826.92,4875254850.99
1608422400,23826.92,24286.64,23086.81,23470.01,4652235731.64
1608508800,23470.01,24109.12,22013.44,22718.15,5646088843.69
1608595200,22718.15,23825.22,22378.59,23813.34,5199918805.84
1608681600,23813.34,24107.35,22693.7,23231.45,6678766747.67
1608768000,23231.45,23790.99,22711,23729.92,4547652265.05
1608854400,23729.92,24783.11,23439.4,24708.45,5086328040.95
1608940800,24708.45,26849.31,24505.92,26483.31,6250703712.84
1609027200,26483.31,28408.14,25691.47,26280.77,9641516858.52
1609113600,26280.77,27483.73,26116.23,27073.86,6142113257.37
1609200000,27073.86,27406.08,25893.64,27382.9,5240846694.67
1609286400,27382.9,28988.67,27382.16,28872.6,6795370714.27
1609372800,28872.6,29299.49,27952.25,28921.33,6360291567.92
1609459200,28921.33,29606.95,28687.23,29333.16,5218639387.01
1609545600,29333.16,33266.13,28957.24,32175.58,9364231184.16
1609632000,32175.58,34760.81,32000.17,32997.95,10201807953.02
1609718400,32997.95,33576.43,28677.1,31996.2,11504071669.66
1609804800,31996.2,34366.62,29933.55,33938.5,9377417825.11
1609891200,33938.5,36922.47,33324.17,36750.95,9967967545.51
1609977600,36750.95,40326.6,36310.2,39432.29,11462462533.09
1610064000,39432.29,41917.13,36673.67,40586.34,12014150658.64
1610150400,40586.34,41367.51,38738.74,40087.93,6558833288.74
1610236800,40087.93,41330.91,35410.98,38168.89,9692717711.65
1610323200,38168.89,38253.49,30492.21,35415.95,16566539026.84
1610409600,35415.95,36618.41,32560.98,34051.92,10342181758.9
1610496000,34051.92,37785.35,32399.81,37366.57,9401750082.98
1610582400,37366.57,40099.67,36752.68,39171.2,8275429350.8
1610668800,39171.2,39739.06,34556.71,36757.19,9966685185.88
1610755200,36757.19,37934.94,35385.67,36006.58,7931818119.62
1610841600,36006.58,36842.21,33863.15,35833.96,6696683193.94
1610928000,35833.96,37457.58,34795.68,36620.68,6110022058.68
1611014400,36620.68,37846.87,35887.17,35898.64,6894783662.08
1611100800,35898.64,36407.55,33417.05,35472.88,7864223171.57
1611187200,35472.88,35593.26,30092.48,30854.14,9951406031.78
1611273600,30854.14,33812.04,28859.01,32972.73,9817907775.78
1611360000,32972.73,33442.92,31399.93,32081.32,5096401047.87
1611446400,32081.32,33055.67,30932.44,32255.01,4434123220.69
1611532800,32255.01,34853.07,31924.34,32272.86,6853971631.21
1611619200,32272.86,32891.44,30846.15,32471.37,6436269468.16
1611705600,32471.37,32544.49,29265.5,30359.52,7204113274.32
1611792000,30359.52,33751.36,29849.59,33345.01,6869856957.77
1611878400,33345.01,38509.81,31927.22,34241.44,16034752410.78
1611964800,34241.44,34927.68,32842.32,34265.49,7006761898.11
1612051200,34265.49,34334.79,32189.61,33097.92,5058256039.37
1612137600,33097.92,34689.72,32306.7,33525.88,6026215457.32
1612224000,33525.88,35971.33,33433.29,35477.16,5854725213.67
1612310400,35477.16,37654.59,35371.73,37620.34,6400183811.95
1612396800,37620.34,38701.84,36197.42,36946.82,7613146239.39
1612483200,36946.82,38304.29,36585.67,38286.3,5773764887.96
1612569600,38286.3,40942.48,38219.83,39189.86,7901672616.94
1612656000,39189.86,39685.87,37404.98,38801.41,6982463908.35
1612742400,38801.41,46710.13,38003.08,46368.54,10889407183.79
1612828800,46368.54,48131.96,44997.54,46439.52,10949085873.68
1612915200,46439.52,47298.75,43741.03,44816.57,8382789662.09
1613001600,44816.57,48640.37,44017.49,47979.17,8333251222.35
1613088000,47979.17,48961.25,46266.83,47316.74,7693752308.74
1613174400,47316.74,48118.95,46253.34,47151.01,6015546206.93
1613260800,47151.01,49690.25,47036.27,48596.39,6806759042.15
1613347200,48596.39,48984.54,45922.74,47907.3,7035229364.87
1613433600,47907.3,50559.17,47033.05,49167.07,8590479208.49
1613520000,49167.07,52602.95,48965.59,52117.28,8813570741.01
1613606400,52117.28,52524.76,50908.9,51556.63,6612426008.64
1613692800,51556.63,56324.69,50785.54,55891.36,7695119335.63
1613779200,55891.36,57614.24,54424.73,55867.83,9359499375.76
1613865600,55867.83,58332.45,55483.63,57410.77,6445444955.79
1613952000,57410.77,57497.12,48576.95,54102.2,13134402102.94
1614038400,54102.2,54171.89,44937,48907.18,15792519836.29
1614124800,48907.18,51349.08,47009.6,49676.91,9951183606.55
1614211200,49676.91,51964.98,46692.68,47088.85,8328633091.55
1614297600,47088.85,48412.55,44131.4,46302.57,10383161842
1614384000,46302.57,48358.59,45006.14,46121.91,6189829621.56
1614470400,46121.91,46617.58,43046.33,45155.02,7552617882.21
1614556800,45155.02,49782.02,44956.17,49592.71,8256958217.18
1614643200,49592.71,50186.96,47064.39,48440.18,6546097190.31
1614729600,48440.18,52620.66,48110.51,50354.88,8158341542.31
1614816000,50354.88,51763.6,47506.59,48369.94,7982334298.89
1614902400,48369.94,49439.63,46320.38,48764.63,7322630191.16
1614988800,48764.63,49184.49,47082.93,48867.11,4784862337.02
1615075200,48867.11,51449.86,48867.09,50951.23,5695404638.54
1615161600,50951.23,52382.26,49276.67,52366.14,7000842190.25
1615248000,52366.14,54889.29,51811.99,54886.26,7556621170.83
1615334400,54886.26,57368.92,53026.19,55851.88,8694302923.54
1615420800,55851.88,58135.48,54319.97,57784.9,8645283061.84
1615507200,57784.9,58066.97,55093.37,57242.19,8503613902.87
1615593600,57242.19,61820.49,56092.5,61177.94,9288916809.95
1615680000,61177.94,61708.87,58986.15,58992.38,6197673528
1615766400,58992.38,60631.62,55084.81,55633.55,10950600383.33
1615852800,55633.55,56922.18,53359.24,56900.44,8394006696.01
1615939200,56900.44,58958.08,54143.13,58899.78,7738607064.15
1616025600,58899.78,60073.5,57037.19,57651.29,7545963146.15
1616112000,57651.29,59458.54,56375.07,58038.36,6090441692.27
1616198400,58038.36,59880.34,57831.32,58115.36,6504588460.72
1616284800,58115.36,58587.46,55619.73,57347.27,6227484764.81
1616371200,57347.27,58418.51,53749.28,54078.39,7017364647.56
1616457600,54078.39,55827.29,53012.41,54353.24,6489778851.91
1616544000,54353.24,57189.61,51954.75,52304.91,8350218866.46
1616630400,52304.91,53257.22,50470.37,51302.69,8335575077.45
1616716800,51302.69,55062.44,51227.64,55023.9,7650908870.51
1616803200,55023.9,56648.24,53972.59,55842.65,6452479734.85
1616889600,55842.65,56534.52,54698.71,55775.47,7133875757.83
1616976000,55775.47,58389.05,54928.94,57628.2,8726347436.21
1617062400,57628.2,59366.73,57074.69,58746.61,7375203027.28
1617148800,58746.61,59788.52,57145.03,58749.55,8189706326.36
1617235200,58749.55,59469.63,57993.58,58725.03,7308375915.61
1617321600,58725.03,60158.87,58450.62,58963.03,6406031301.16
1617408000,58963.03,59781.72,56904.47,57062.28,7553822630.75
1617494400,57062.28,58491.61,56441.03,58197.26,5989741898.38
